Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
1225,PDE6C,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.047596722,-0.239753503,0,-0.242244029,0.5,0,ENSG00000095464
1226,CWF19L1,0.0,0.0,0.210526316,0.0,0.0,0.0,0.0,0.019967518,-0.239753503,0,0.436462277,1.0,11,ENSG00000095485
1227,SEMA4G,0.04587156,0.0,0.110091743,0.0,0.064220183,0.0,0.0,-0.216333777,-0.239753503,0,0.436462277,0.705882353,9,ENSG00000095539
1228,BTAF1,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.060802421,-0.239753503,0,-0.242244029,0.0,13,ENSG00000095564
1229,TLL2,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.104782717,-0.239753503,0,0.436462277,1.0,3,ENSG00000095587
1230,CYP26A1,0.0,0.0,0.428571429,0.0,0.0,0.0,0.0,0.052579216,-0.239753503,0,-0.242244029,1.0,0,ENSG00000095596
1231,TDRD1,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0,1.41298164,-0.239753503,0,-0.242244029,0.25,0,ENSG00000095627
1232,SORBS1,0.0,0.0,0.961538462,0.0,0.0,0.0,0.0,-1.527287251,-0.239753503,0,0.436462277,1.0,19,ENSG00000095637
1233,CRTAC1,0.28,0.16,0.36,0.0,0.0,0.0,0.0,-1.435882208,-0.239753503,0,1.793874888,0.5625,2,ENSG00000095713
1234,BAMBI,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.160021348,-0.239753503,0,-0.242244029,1.0,5,ENSG00000095739
1235,MYO3A,0.086956522,0.217391304,0.086956522,0.043478261,0.0,0.0,0.0,-0.039298397,-0.239753503,0,3.151287499,0.5,2,ENSG00000095777
1236,CREM,0.388888889,0.0,0.152777778,0.0,0.0,0.0,0.0,-0.29992796,-0.239753503,0,-0.242244029,0.282051282,7,ENSG00000095794
1237,HIVEP1,0.0,0.0,0.153846154,0.153846154,0.0,0.0,0.0,0.15477587,-0.239753503,0,0.436462277,1.0,24,ENSG00000095951
1238,CRISP3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.805915039,-0.239753503,0,-0.242244029,1.0,2,ENSG00000096006
1239,FKBP5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.036736223,-0.239753503,0,-0.242244029,1.0,43,ENSG00000096060
1240,BRPF3,0.333333333,0.0,0.142857143,0.0,0.0,0.0,0.0,-0.025154727,-0.239753503,0,-0.242244029,0.3,42,ENSG00000096070
1241,EFHC1,0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.230845657,-0.239753503,0,-0.242244029,0.0,15,ENSG00000096093
1242,HSP90AB1,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.248405806,2.539960328,1,-0.242244029,1.0,135,ENSG00000096384
1243,CDC5L,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.117470849,-0.239753503,0,0.436462277,1.0,154,ENSG00000096401
1244,ITPR3,0.133333333,0.0,0.4,0.0,0.0,0.0,0.0,-0.044549006,2.539960328,0,0.436462277,0.75,34,ENSG00000096433
1245,ZNF184,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.048463255,-0.239753503,0,-0.242244029,0.5,12,ENSG00000096654
1246,DSP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.101855391,-0.239753503,0,0.436462277,1.0,33,ENSG00000096696
1247,SIRT1,0.0,0.0,0.571428571,0.071428571,0.0,0.0,0.0,-0.123945682,-0.239753503,0,1.115168582,1.0,63,ENSG00000096717
1248,HNRNPH3,0.0,0.0,0.075471698,0.0,0.0,0.0,0.0,-0.052275284,-0.239753503,0,0.436462277,1.0,25,ENSG00000096746
1249,JAK2,0.0,0.0,0.333333333,0.0,0.666666667,0.0,0.0,-0.439327989,2.539960328,0,0.436462277,1.0,37,ENSG00000096968
1250,ABL1,0.0,0.0,0.75,0.25,0.0,0.0,0.0,-0.04841696,2.539960328,0,1.115168582,1.0,97,ENSG00000097007
1251,SH3GLB1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.500068051,-0.239753503,0,-0.242244029,1.0,35,ENSG00000097033
1252,CDC7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.020476451,2.539960328,0,-0.920950334,0.0,0,ENSG00000097046
1253,SYDE2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.148163636,-0.239753503,0,-0.242244029,1.0,28,ENSG00000097096
1254,PCSK5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.081829081,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099139
1255,SCD,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.499631707,-0.239753503,0,0.436462277,1.0,9,ENSG00000099194
1256,ABLIM1,0.307692308,0.0,0.5,0.0,0.0,0.0,0.0,-0.608395191,-0.239753503,0,0.436462277,0.619047619,23,ENSG00000099204
1257,NRP1,0.0,0.0,0.727272727,0.0,0.0,0.0,0.0,0.11868201,-0.239753503,0,-0.242244029,1.0,31,ENSG00000099250
1258,PRTFDC1,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.712351388,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099256
1259,PALMD,0.0,0.0,0.75,0.0,0.0,0.0,0.0,-0.267635723,-0.239753503,0,0.436462277,1.0,3,ENSG00000099260
